product_id;product_name;brand;package_quantity;package_unit;product_category;from_date;to_date;percentage_of_discount
P001;lapte zuzu;Zuzu;1.0;l;lactate;2025-05-15;2025-05-20;6
P010;brânză telemea;Proxi;0.3;kg;lactate;2025-05-15;2025-05-20;12
P019;piept pui;Avicola;1.0;kg;carne;2025-05-15;2025-05-19;8
P024;apă plată;Aqua Carpatica;2.0;l;băuturi;2025-05-15;2025-05-21;6
P036;cafea măcinată;Tchibo;0.25;kg;cafea;2025-05-15;2025-05-20;13
P039;detergent lichid;Dero;2.5;l;produse de menaj;2025-05-15;2025-05-21;18
P042;șampon păr gras;Schauma;400.0;ml;îngrijire personală;2025-05-15;2025-05-21;7
P054;ciocolată neagră 70%;Poiana;100.0;g;gustări;2025-05-15;2025-05-19;10
P007;ouă mărimea M;Din Ogradă;10.0;buc;ouă;2025-05-15;2025-05-20;9
P027;banane;Generic;1.0;kg;legume și fructe;2025-05-15;2025-05-21;4